scenario,protocol,mobility,maxPaths,numNodes,numFlows,meanVelMin,meanVelMax,pktInterval,simTime,seed,deliveryRatio,avgDelayMs,throughputMbps,routingOverhead,totalEnergyJ,nodesDead
hetero-E10,AOMDV,GAUSS,3,15,0,15,25,0.25,300,4,23.5186,230.1812,0.0551,27577,108.0792,0
hetero-E10,AOMDV,GAUSS,3,15,0,15,25,0.25,300,5,51.9855,199.8973,0.1218,26582,108.1774,0
hetero-E10,AOMDV,GAUSS,3,15,0,15,25,0.25,300,6,33.8087,291.3022,0.0792,25303,108.0784,0
hetero-E10,AOMDV,GAUSS,3,15,0,15,25,0.25,300,7,48.8689,183.5617,0.1145,31704,108.1986,0
hetero-E10,AOMDV,GAUSS,3,15,0,15,25,0.25,300,8,51.4077,234.2258,0.1204,38376,108.1511,0
hetero-E10,AOMDV,GAUSS,3,15,0,15,25,0.25,300,9,33.0096,59.5183,0.0773,26717,108.1155,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,1,42.9125,199.2129,0.1005,35912,216.6570,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,10,48.9796,375.3605,0.1147,48032,217.1492,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,2,43.9513,164.0926,0.1030,33691,216.6601,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,3,60.0197,202.3644,0.1406,38345,216.1963,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,4,23.5186,230.1812,0.0551,27577,216.7264,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,5,51.9855,199.8973,0.1218,26582,216.7695,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,6,33.8087,291.3022,0.0792,25303,216.0350,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,7,48.8689,183.5617,0.1145,31704,217.1184,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,8,51.4077,234.2258,0.1204,38376,216.6038,0
hetero-E20,AOMDV,GAUSS,3,15,0,15,25,0.25,300,9,33.0096,59.5183,0.0773,26717,216.2654,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,1,42.9125,199.2129,0.1005,35912,325.6300,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,10,48.9796,375.3605,0.1147,48032,326.4669,0
hetero-E30,AOMDV,GAUSS,3,15,0,15,25,0.25,300,2,43.9513,164.0926,0.1030,33691,325.4104,0
